distname,district_id,dist_grad,dist_grad_tot,dist_died,dist_ret_home_ctry,dist_college,dist_home_school,dist_rem_cps,dist_exp_no_ret,dist_enr_priv,dist_enr_non_tx_priv,dist_admin_withdrawn,dist_grad_hs_gone,dist_ged_non_tx,dist_univ_hs_dp,dist_grad_iceo_mil,dist_other_tot,dist_pregnancy,dist_med_inj,dist_crt_ord_no_ged,dist_fed_or_state_jail,dist_other,dist_drop_tot,leaver_count,enrollment_count,school_year
Cayuga ISD,001902,34,34,0,1,0,2,0,0,2,2,0,0,0,0,0,7,-1,-1,-1,-1,-1,1,1.0,76.0,2023-24
Elkhart ISD,001903,69,69,0,0,0,18,0,0,0,7,0,0,0,0,0,25,0,0,0,0,0,0,0.0,163.0,2023-24
Frankston ISD,001904,45,45,0,1,0,9,0,0,0,1,0,0,0,0,0,11,0,0,0,0,0,0,0.0,101.0,2023-24
Neches ISD,001906,19,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,0,0,0,0,0,0,0.0,42.0,2023-24
Palestine ISD,001907,232,232,2,8,0,50,0,0,0,11,0,0,0,0,0,71,0,0,0,0,0,0,0.0,535.0,2023-24
Westwood ISD,001908,95,95,0,0,0,17,0,0,0,8,0,0,0,0,0,25,-1,-1,-1,-1,-1,1,1.0,216.0,2023-24
Slocum ISD,001909,18,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,0,0,0,0,0,0,0.0,39.0,2023-24
Andrews ISD,002901,259,259,0,17,0,66,0,0,4,26,0,0,0,0,0,113,-1,-1,-1,-1,-1,4,4.0,635.0,2023-24
Pineywoods Community Academy,003801,57,57,1,0,0,4,0,1,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0.0,123.0,2023-24
Hudson ISD,003902,178,178,1,0,0,11,0,0,0,6,0,0,0,0,0,18,0,0,0,1,4,5,5.0,379.0,2023-24
Lufkin ISD,003903,499,499,0,8,0,20,0,0,1,23,0,0,0,0,0,52,0,0,0,1,74,75,75.0,1125.0,2023-24
Huntington ISD,003904,125,125,0,1,0,29,0,0,0,7,0,0,0,0,0,37,0,0,0,0,0,0,0.0,287.0,2023-24
Diboll ISD,003905,127,127,0,0,0,9,0,0,0,4,0,0,0,0,0,13,0,0,0,0,5,5,5.0,272.0,2023-24
Zavalla ISD,003906,17,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,0,0,0,0,0,0,0.0,38.0,2023-24
Central ISD,003907,103,103,0,0,0,8,0,0,0,3,0,0,0,0,0,11,0,0,0,0,7,7,7.0,224.0,2023-24
Rockport-Fulton ISD,004901,191,191,0,3,0,31,0,0,5,11,1,0,0,0,0,51,0,0,7,0,16,23,23.0,456.0,2023-24
Archer City ISD,005901,28,28,0,1,0,4,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0.0,64.0,2023-24
Holliday ISD,005902,89,89,0,1,0,3,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0.0,186.0,2023-24
Windthorst ISD,005904,34,34,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,0,0,0,0,0,0.0,70.0,2023-24
Claude ISD,006902,20,20,0,0,0,6,0,0,1,0,0,0,0,0,0,7,-1,-1,-1,-1,-1,1,1.0,48.0,2023-24
Charlotte ISD,007901,29,29,0,0,0,7,0,0,0,4,0,0,0,0,0,11,-1,-1,-1,-1,-1,1,1.0,70.0,2023-24
Jourdanton ISD,007902,97,97,0,4,0,12,0,0,0,4,0,0,0,0,0,20,0,0,0,0,12,12,12.0,226.0,2023-24
Lytle ISD,007904,105,105,0,2,0,4,0,2,1,8,1,0,0,0,0,18,0,0,0,0,13,13,13.0,241.0,2023-24
Pleasanton ISD,007905,217,217,1,10,0,41,0,0,1,8,0,0,0,0,0,61,0,0,0,0,11,11,11.0,506.0,2023-24
Poteet ISD,007906,130,130,0,3,0,18,0,0,0,9,0,0,0,0,0,30,0,0,0,0,13,13,13.0,303.0,2023-24
Bellville ISD,008901,174,174,0,3,0,10,0,0,5,5,1,0,0,0,0,24,-1,-1,-1,-1,-1,1,1.0,373.0,2023-24
Sealy ISD,008902,197,197,0,7,0,7,0,0,0,14,0,0,0,0,0,28,0,0,0,0,5,5,5.0,427.0,2023-24
Brazos ISD,008903,64,64,0,0,0,5,0,0,2,2,0,0,0,0,0,9,0,0,0,0,0,0,0.0,137.0,2023-24
Muleshoe ISD,009901,83,83,0,6,0,18,0,0,0,11,0,0,0,0,0,35,-1,-1,-1,-1,-1,1,1.0,202.0,2023-24
Medina ISD,010901,18,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,0,0,0,0,0,0,0.0,39.0,2023-24
Bandera ISD,010902,169,169,2,4,0,39,0,0,3,12,0,0,0,0,0,60,0,0,0,0,14,14,14.0,412.0,2023-24
Bastrop ISD,011901,"1,017","1,017",1,45,1,127,1,1,4,68,1,0,0,0,0,249,0,0,0,0,13,13,13.0,262.0,2023-24
Elgin ISD,011902,423,423,1,18,0,13,0,4,2,19,1,0,0,0,0,58,0,0,3,0,49,52,52.0,956.0,2023-24
Smithville ISD,011904,132,132,0,0,0,10,0,0,0,5,0,0,0,0,0,15,0,0,0,0,5,5,5.0,284.0,2023-24
McDade ISD,011905,23,23,0,0,0,3,0,0,0,2,0,0,0,0,0,5,-1,-1,-1,-1,-1,1,1.0,52.0,2023-24
Seymour ISD,012901,46,46,0,1,0,8,0,0,0,7,0,0,0,0,0,16,0,0,0,0,0,0,0.0,108.0,2023-24
Beeville ISD,013901,213,213,0,1,0,30,0,0,28,11,0,0,0,0,0,70,0,0,0,0,12,12,12.0,508.0,2023-24
Pawnee ISD,013902,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,0,0.0,0.0,2023-24
Pettus ISD,013903,21,21,0,0,0,3,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0.0,47.0,2023-24
Skidmore-Tynan ISD,013905,62,62,1,1,0,2,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0.0,130.0,2023-24
Richard Milburn Alter HS,014801,341,341,3,4,0,7,1,27,1,15,0,0,0,0,0,58,0,0,2,0,670,672,672.0,1412.0,2023-24
Priority Charter Schools,014803,24,24,0,0,0,10,0,0,1,8,0,0,0,0,0,19,0,0,0,0,0,0,0.0,67.0,2023-24
Orenda Charter School,014804,113,113,0,2,0,20,0,0,9,12,0,0,0,0,0,43,-1,-1,-1,-1,-1,1,1.0,270.0,2023-24
Academy ISD,014901,113,113,0,1,0,10,0,0,2,18,0,0,0,0,0,31,-1,-1,-1,-1,-1,3,3.0,260.0,2023-24
Bartlett ISD,014902,33,33,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,0,0,0,0,0,0.0,68.0,2023-24
Belton ISD,014903,"1,009","1,009",7,13,0,92,1,0,7,113,0,1,0,0,0,234,0,0,19,0,32,51,51.0,285.0,2023-24
Holland ISD,014905,45,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,0,0,0,0,0,0,0.0,94.0,2023-24
Killeen ISD,014906,"2,565","2,565",3,31,0,110,0,0,21,866,0,0,0,0,1,"1,032",0,0,39,1,371,411,411.0,411.0,2023-24
Rogers ISD,014907,64,64,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,2,2.0,132.0,2023-24
Salado ISD,014908,180,180,0,6,0,12,0,0,0,12,0,0,1,0,0,31,0,0,0,0,0,0,0.0,391.0,2023-24
Temple ISD,014909,641,641,1,13,0,65,1,0,3,59,0,0,0,0,0,142,0,1,30,0,21,52,52.0,1476.0,2023-24
Troy ISD,014910,116,116,0,1,0,18,0,0,0,13,0,0,0,0,0,32,0,0,0,0,0,0,0.0,264.0,2023-24
Por Vida Academy,015801,82,82,0,0,0,4,0,0,0,1,0,0,0,0,0,5,0,0,0,0,30,30,30.0,199.0,2023-24
George Gervin Academy,015802,64,64,0,0,0,38,0,0,0,5,0,0,0,0,0,43,0,0,0,0,0,0,0.0,171.0,2023-24
New Frontiers Public Schools Inc,015805,47,47,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,0,0,0,0,0,0.0,96.0,2023-24
Legacy Traditional Schools-Texas,015806,20,20,0,0,0,6,0,0,2,9,0,0,0,0,0,17,0,0,0,0,5,5,5.0,62.0,2023-24
Southwest Preparatory School,015807,45,45,0,2,0,19,0,0,3,5,0,0,0,0,0,29,-1,-1,-1,-1,-1,2,2.0,121.0,2023-24
Inspire Academies,015808,42,42,1,0,0,9,1,0,4,14,0,0,0,0,0,29,0,0,3,0,61,64,64.0,177.0,2023-24
Bexar County Academy,015809,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,0,0.0,0.0,2023-24
Positive Solutions Charter School,015814,16,16,0,1,0,1,0,0,2,2,0,0,0,0,0,6,0,0,0,0,36,36,36.0,74.0,2023-24
Heritage Academy,015815,34,34,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,0,0,0,0,5,5,5.0,76.0,2023-24
Jubilee Academies,015822,169,169,0,6,0,9,0,0,3,3,0,0,1,0,0,22,0,0,0,0,13,13,13.0,373.0,2023-24
Lighthouse Public Schools,015825,14,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,0,0,0,0,7,7,7.0,39.0,2023-24
School of Science and Technology,015827,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,0,0.0,0.0,2023-24
Harmony Public Schools-South Texas,015828,302,302,0,6,13,6,0,4,0,10,3,0,0,0,0,42,0,0,0,0,0,0,0.0,646.0,2023-24
Somerset Academies of Texas,015830,122,122,0,3,0,9,0,2,6,11,0,0,0,0,0,31,0,0,0,0,9,9,9.0,284.0,2023-24
School of Science and Technology,015831,0,0,0,1,0,7,0,1,0,4,1,0,0,0,0,14,0,0,0,0,0,0,0.0,14.0,2023-24
Henry Ford Academy Alameda,015833,10,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,9,9,9.0,30.0,2023-24
Basis Texas,015834,70,70,0,5,0,8,0,0,10,13,0,0,0,0,0,36,-1,-1,-1,-1,-1,3,3.0,179.0,2023-24
Great Hearts Texas,015835,152,152,0,9,0,80,0,4,62,36,0,0,0,0,0,191,0,0,0,0,73,73,73.0,568.0,2023-24
Eleanor Kolitz Hebrew Language,015836,0,0,0,0,0,1,0,0,6,2,0,0,0,0,0,9,0,0,0,0,0,0,0.0,9.0,2023-24
